race,discuss_politics,ideology,party,church_goer,age,gender,political_interest,patriotism,state,ground_truth
white,Yes,,a strong Republican,attend church,29,man,somewhat,extremely good,Louisiana,Trump
white,Yes,slightly conservative,a weak Republican,do not attend church,26,man,very,extremely good,Arkansas,Trump
white,No,,an independent who leans Democratic,do not attend church,23,man,not very,moderately good,Mississippi,Non-voter
white,Yes,,an independent who leans Republican,attend church,58,man,somewhat,extremely good,Tennessee,Trump
white,No,moderate,an independent who leans Democratic,attend church,38,woman,not very,extremely good,Ohio,Non-voter
white,Yes,conservative,an independent who leans Republican,attend church,60,man,very,extremely good,New Jersey,Trump
black,No,,a strong democrat,attend church,58,man,not very,extremely good,New York,Clinton
white,Yes,slightly conservative,an independent,do not attend church,56,woman,somewhat,extremely good,New Jersey,Trump
,Yes,moderate,an independent who leans Republican,attend church,45,man,somewhat,extremely good,Texas,Non-voter
white,Yes,slightly liberal,an independent who leans Democratic,attend church,30,woman,somewhat,extremely good,Mississippi,Non-voter
white,,,an independent who leans Republican,do not attend church,40,woman,,,Louisiana,Non-voter
white,,liberal,an independent who leans Democratic,do not attend church,86,woman,,,North Carolina,Non-voter
hispanic,Yes,moderate,an independent who leans Republican,do not attend church,30,man,very,extremely good,Connecticut,Non-voter
white,Yes,,a weak Democrat,attend church,67,man,somewhat,extremely good,Ohio,Trump
white,Yes,liberal,a strong democrat,attend church,62,woman,very,moderately good,Kansas,Clinton
white,Yes,,a strong democrat,do not attend church,51,man,not very,neither good nor bad,Massachusetts,Non-voter
hispanic,Yes,liberal,a strong democrat,do not attend church,46,man,very,moderately good,,Clinton
white,Yes,conservative,a strong Republican,do not attend church,70,man,somewhat,extremely good,New Mexico,Trump
white,Yes,slightly liberal,a strong democrat,attend church,30,woman,somewhat,moderately good,New York,Clinton
white,Yes,,a weak Republican,attend church,67,woman,not very,extremely good,Washington,Non-voter
white,Yes,slightly conservative,a weak Republican,attend church,66,woman,somewhat,extremely good,Louisiana,Trump
white,Yes,slightly liberal,a weak Republican,do not attend church,32,woman,somewhat,extremely good,Arizona,Trump
white,Yes,,an independent who leans Republican,attend church,56,woman,somewhat,extremely good,Pennsylvania,Clinton
white,No,conservative,an independent who leans Republican,attend church,65,woman,not very,extremely good,Kansas,Trump
,Yes,extremely conservative,an independent who leans Republican,do not attend church,61,man,somewhat,extremely good,Louisiana,Trump
native American,Yes,,an independent who leans Republican,attend church,34,man,not at all,moderately good,Pennsylvania,Non-voter
white,No,liberal,an independent,attend church,68,,not very,extremely good,Florida,Non-voter
white,Yes,,an independent,attend church,25,woman,somewhat,extremely good,Tennessee,Non-voter
white,Yes,liberal,an independent who leans Democratic,do not attend church,73,man,very,neither good nor bad,Massachusetts,Clinton
white,Yes,moderate,an independent,attend church,67,woman,somewhat,extremely good,Kansas,Non-voter
white,Yes,liberal,a weak Democrat,attend church,35,woman,somewhat,moderately good,Arizona,Non-voter
white,,conservative,a strong Republican,attend church,64,man,,,Kansas,Non-voter
white,Yes,conservative,a strong Republican,attend church,73,woman,somewhat,extremely good,New Mexico,Trump
white,Yes,extremely conservative,an independent who leans Republican,attend church,69,man,very,extremely good,Illinois,Trump
white,Yes,moderate,a weak Republican,attend church,41,woman,not at all,neither good nor bad,Massachusetts,Non-voter
white,Yes,liberal,a weak Democrat,attend church,67,man,somewhat,moderately good,Tennessee,Clinton
white,,,an independent who leans Democratic,do not attend church,59,woman,,,Colorado,Non-voter
white,Yes,moderate,a strong Republican,attend church,54,man,very,extremely good,Kansas,Trump
hispanic,Yes,moderate,an independent who leans Democratic,do not attend church,48,man,very,extremely good,Massachusetts,Non-voter
black,Yes,liberal,a weak Democrat,attend church,26,woman,somewhat,moderately bad,Georgia,Clinton
white,Yes,conservative,an independent who leans Republican,attend church,,,somewhat,extremely good,Arkansas,Trump
white,No,slightly conservative,a strong Republican,attend church,25,woman,somewhat,moderately good,Wisconsin,Trump
black,Yes,extremely liberal,a strong democrat,attend church,46,woman,somewhat,extremely good,,Clinton
white,Yes,conservative,a strong Republican,attend church,59,man,very,extremely good,New York,Trump
white,Yes,moderate,an independent who leans Republican,attend church,39,woman,somewhat,extremely good,Kansas,Trump
white,Yes,slightly liberal,a weak Democrat,attend church,52,woman,very,extremely good,Illinois,Clinton
hispanic,Yes,conservative,an independent,attend church,29,woman,not very,extremely good,Texas,Non-voter
white,Yes,moderate,an independent who leans Republican,attend church,46,man,very,extremely good,North Carolina,Trump
,Yes,liberal,a strong democrat,do not attend church,45,man,somewhat,moderately good,Tennessee,Non-voter
black,,,a weak Democrat,attend church,64,man,,,North Carolina,Clinton
white,,moderate,an independent who leans Democratic,attend church,43,woman,,,Arkansas,Non-voter
white,Yes,liberal,a strong democrat,attend church,61,woman,somewhat,extremely good,Georgia,Clinton
white,,slightly conservative,a weak Republican,do not attend church,30,man,,,Ohio,Non-voter
white,Yes,conservative,a weak Republican,attend church,55,man,somewhat,extremely good,Wisconsin,Trump
white,Yes,liberal,a strong democrat,do not attend church,35,woman,somewhat,neither good nor bad,Tennessee,Clinton
white,No,slightly liberal,an independent who leans Democratic,do not attend church,24,woman,somewhat,moderately good,Tennessee,Non-voter
hispanic,No,,an independent who leans Republican,attend church,85,woman,not at all,neither good nor bad,Texas,Clinton
hispanic,Yes,moderate,a strong democrat,attend church,61,man,somewhat,moderately good,Connecticut,Clinton
white,No,liberal,a strong democrat,attend church,52,woman,not very,a little good,Massachusetts,Clinton
white,Yes,,an independent who leans Republican,do not attend church,56,man,not very,extremely good,Illinois,Non-voter
black,Yes,liberal,a strong democrat,attend church,68,man,somewhat,moderately good,Texas,Clinton
black,No,,a strong democrat,attend church,76,woman,somewhat,moderately good,Mississippi,Clinton
white,No,moderate,an independent who leans Republican,do not attend church,31,man,not at all,extremely good,Pennsylvania,Trump
white,Yes,moderate,a weak Republican,attend church,19,woman,not very,extremely good,New Mexico,Trump
white,,,a strong democrat,attend church,47,woman,,,Oklahoma,Non-voter
white,,moderate,an independent who leans Democratic,do not attend church,68,woman,,,Illinois,Non-voter
white,Yes,liberal,a strong democrat,attend church,57,man,very,neither good nor bad,Massachusetts,Clinton
white,No,slightly conservative,an independent who leans Republican,do not attend church,27,woman,not at all,extremely good,Tennessee,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,32,woman,somewhat,moderately good,Mississippi,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,45,man,very,neither good nor bad,Tennessee,Non-voter
hispanic,Yes,,a weak Democrat,attend church,50,woman,not very,neither good nor bad,California,Clinton
black,Yes,liberal,a strong democrat,attend church,68,woman,somewhat,extremely good,Tennessee,Clinton
,Yes,,a strong democrat,attend church,60,man,very,extremely good,Maryland,Clinton
hispanic,Yes,liberal,an independent who leans Democratic,do not attend church,36,woman,somewhat,neither good nor bad,California,Clinton
hispanic,No,,a weak Democrat,do not attend church,27,woman,not very,moderately good,California,Clinton
asian,Yes,moderate,a weak Republican,attend church,,man,somewhat,extremely good,California,Non-voter
white,Yes,moderate,an independent who leans Republican,attend church,46,woman,very,moderately good,South Carolina,Trump
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,35,man,somewhat,a little good,Indiana,Clinton
white,No,moderate,an independent who leans Republican,do not attend church,44,woman,not at all,moderately good,Kansas,Non-voter
black,No,,a weak Democrat,attend church,78,woman,not at all,extremely good,,Clinton
white,,conservative,an independent who leans Republican,attend church,83,man,,,Arkansas,Non-voter
hispanic,Yes,moderate,,do not attend church,65,woman,somewhat,a little good,California,Clinton
white,Yes,moderate,a strong democrat,attend church,55,man,somewhat,moderately good,Indiana,Clinton
hispanic,Yes,,a strong democrat,attend church,69,woman,very,extremely good,California,Clinton
black,Yes,moderate,an independent who leans Democratic,attend church,55,man,very,neither good nor bad,New Jersey,Clinton
white,Yes,slightly liberal,an independent who leans Democratic,attend church,31,man,somewhat,neither good nor bad,Minnesota,Non-voter
white,Yes,liberal,an independent who leans Democratic,attend church,68,man,somewhat,moderately good,Illinois,Clinton
white,Yes,moderate,an independent who leans Republican,attend church,42,man,very,moderately good,Pennsylvania,Trump
white,Yes,conservative,a strong Republican,attend church,82,woman,somewhat,extremely good,California,Trump
white,,extremely conservative,a strong Republican,attend church,53,woman,,,Georgia,Non-voter
white,,conservative,a strong Republican,do not attend church,65,man,,,Kansas,Non-voter
black,No,liberal,a weak Democrat,attend church,42,woman,not at all,neither good nor bad,Georgia,Non-voter
hispanic,,moderate,a weak Democrat,do not attend church,48,man,,,Texas,Non-voter
white,Yes,liberal,a strong democrat,attend church,30,man,somewhat,extremely good,Arizona,Clinton
,Yes,slightly conservative,an independent who leans Republican,attend church,23,woman,somewhat,extremely good,Louisiana,Trump
white,Yes,slightly conservative,a weak Republican,attend church,51,man,not very,moderately good,Wisconsin,Clinton
white,,,a strong Republican,do not attend church,31,woman,,,Wisconsin,Non-voter
hispanic,,moderate,a strong democrat,attend church,68,man,,,California,Non-voter
white,Yes,moderate,an independent,attend church,66,woman,somewhat,neither good nor bad,Indiana,Non-voter
white,No,slightly conservative,a weak Republican,attend church,29,woman,not at all,extremely good,Illinois,Trump
white,Yes,liberal,a strong democrat,do not attend church,36,woman,somewhat,moderately good,Texas,Clinton
white,Yes,slightly liberal,a strong democrat,do not attend church,47,woman,somewhat,extremely good,Pennsylvania,Clinton
white,Yes,slightly conservative,an independent,do not attend church,61,man,somewhat,extremely good,Texas,Clinton
white,Yes,liberal,a strong democrat,attend church,26,woman,somewhat,a little good,Colorado,Clinton
white,No,,a strong Republican,do not attend church,88,man,,extremely good,Texas,Non-voter
,Yes,extremely liberal,a strong democrat,do not attend church,83,woman,somewhat,extremely good,Massachusetts,Trump
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,51,man,very,a little good,Massachusetts,Non-voter
white,Yes,slightly conservative,a weak Republican,do not attend church,36,man,not very,a little good,Indiana,Clinton
white,Yes,moderate,an independent who leans Democratic,attend church,68,woman,not very,neither good nor bad,California,Clinton
hispanic,Yes,moderate,an independent who leans Democratic,attend church,23,man,somewhat,neither good nor bad,Texas,Non-voter
white,Yes,,an independent who leans Republican,attend church,34,woman,not very,extremely good,Arizona,Non-voter
white,Yes,moderate,an independent who leans Republican,attend church,58,woman,not very,extremely good,Georgia,Trump
,Yes,slightly conservative,an independent who leans Republican,attend church,69,man,very,extremely good,North Carolina,Trump
hispanic,No,,an independent who leans Democratic,do not attend church,19,man,not at all,moderately good,Texas,Non-voter
hispanic,Yes,,a weak Democrat,attend church,30,man,not very,neither good nor bad,California,Clinton
white,Yes,moderate,an independent,do not attend church,75,woman,very,extremely good,Pennsylvania,Trump
